Date,StepCount,Distance_m_,AverageSpeed_m_s_,MaxSpeed_m_s_,MinSpeed_m_s_,MoveMinutesCount,CyclingDuration_ms_,InactiveDuration_ms_,WalkingDuration_ms_,RunningDuration_ms_,RoadBikingDuration_ms_,Month
13-Feb-2020,8665,4723.008991,0.918710825,1.352866411,0.52402395,NaN,NaN,75381364,4120167,433629,NaN,February
14-Feb-2020,5378,2414.479975,1.263674358,1.949492335,0.551342368,NaN,NaN,81745550,1913194,209345,NaN,February
15-Feb-2020,13473,8540.478622,2.13456175,3.383451223,0.638153136,NaN,NaN,70499231,7658331,NaN,NaN,February
16-Feb-2020,10054,6457.481409,1.278469575,2.403948307,0.502556264,NaN,478967,73003400,5796256,NaN,NaN,February
17-Feb-2020,9992,5924.711301,3.101629611,24.94791412,0.529917598,NaN,NaN,73384871,5740761,NaN,NaN,February
18-Feb-2020,6037,2456.910769,1.668437501,23.48045349,0.519217551,NaN,NaN,74071310,2852868,NaN,NaN,February
19-Feb-2020,13293,8185.962343,4.626472833,29.09291267,0.518160105,NaN,NaN,71004849,7162962,NaN,NaN,February
20-Feb-2020,12634,6677.229091,7.713656222,21.35650826,0.548315227,NaN,NaN,71970377,7217528,NaN,NaN,February
21-Feb-2020,10274,5946.276976,2.422015179,4.697253704,0.669282913,NaN,694688,74565752,5505180,NaN,NaN,February
22-Feb-2020,10182,5122.339241,2.060763776,5.700208187,0.50617969,NaN,NaN,69055712,5963317,NaN,NaN,February
23-Feb-2020,11703,7423.508714,1.58960726,10.7851696,0.50927937,NaN,694987,71297259,6553751,NaN,NaN,February
24-Feb-2020,8733,5466.144171,9.908584988,46.34803009,0.511957169,NaN,2222877,74369202,5920980,NaN,NaN,February
25-Feb-2020,7695,4755.178198,5.003340236,36.13450241,0.505919456,NaN,NaN,71608707,4668867,NaN,NaN,February
26-Feb-2020,3289,1192.221748,0.703781159,1.430642486,0.500363111,NaN,NaN,77417815,1901700,NaN,NaN,February
27-Feb-2020,2278,886.3711661,8.087164418,37.60359955,0.540350735,NaN,NaN,62597464,1175116,NaN,NaN,February
28-Feb-2020,7557,8106.934851,7.02292028,26.77996063,0.5523054,NaN,2541835,72329175,5340619,NaN,NaN,February
01-Mar-2020,8477,4526.892252,2.493019796,3.100119114,0.502605855,NaN,NaN,71438758,4938683,NaN,NaN,March
02-Mar-2020,8236,10097.80008,2.814311626,26.4886322,0.519414008,NaN,1825692,71975395,4115389,NaN,NaN,March
03-Mar-2020,8766,5562.184524,4.110862827,34.61328125,0.511969268,NaN,NaN,73141851,5330334,NaN,NaN,March
04-Mar-2020,7825,3542.809048,2.218701517,6.097197056,0.524416924,NaN,NaN,79788311,3429811,68651,NaN,March
05-Mar-2020,2259,206.4138842,2.011356266,3.028632641,0.786683798,NaN,NaN,81540303,522587,NaN,NaN,March
06-Mar-2020,10949,6231.118718,0.959491067,3.366018057,0.525325716,NaN,634719,74157787,5534110,NaN,NaN,March
07-Mar-2020,5898,3706.769798,1.460583233,1.90698278,0.695425034,NaN,NaN,81898313,3173336,NaN,NaN,March
08-Mar-2020,8111,5250.668158,0.697115243,2.459825754,0.53948456,NaN,NaN,76048736,5309260,NaN,NaN,March
09-Mar-2020,7932,5114.422717,0.871568462,5.809270859,0.566366911,NaN,453494,73800471,4928581,NaN,NaN,March
10-Mar-2020,6488,3756.544816,2.025492821,8.179870605,0.619871676,NaN,589966,75447026,4030970,NaN,NaN,March
11-Mar-2020,12042,6560.071805,0.727002729,1.725615025,0.556867898,NaN,NaN,66011335,7749597,NaN,NaN,March
12-Mar-2020,3456,1028.46535,2.968999873,5.426833153,0.962357819,NaN,NaN,74674419,1691149,120957,NaN,March
13-Mar-2020,6514,3551.977163,1.046418038,2.096910954,0.642179728,NaN,NaN,63668829,4189205,NaN,NaN,March
14-Mar-2020,1687,359.93532,1.041159383,1.100319743,0.785532236,NaN,NaN,72958204,995989,NaN,NaN,March
15-Mar-2020,6183,1987.173912,NaN,NaN,NaN,NaN,NaN,65868738,3694193,NaN,NaN,March
16-Mar-2020,11127,7212.711593,13.31349701,27.92273903,0.546833515,NaN,NaN,71062512,7332892,NaN,NaN,March
17-Mar-2020,8338,5171.805205,1.460044559,15.89469051,0.508130252,NaN,NaN,72586466,5494647,NaN,NaN,March
18-Mar-2020,6661,3560.430717,0.761473706,1.35076952,0.596173048,NaN,NaN,76296213,4108398,NaN,NaN,March
19-Mar-2020,1969,500.0022445,1.345783769,24.50868797,0.560750782,NaN,NaN,71016519,1029352,NaN,NaN,March
20-Mar-2020,12751,8408.690319,1.266035668,4.698915482,0.50175482,NaN,NaN,70121044,7140006,104800,NaN,March
21-Mar-2020,12910,7784.019706,2.152809625,21.35755539,0.51904279,NaN,NaN,50616382,7120663,NaN,NaN,March
12-Apr-2020,6239,3107.135654,1.014388292,7.03292942,0.528789222,NaN,NaN,40618630,2887020,NaN,NaN,April
13-Apr-2020,4205,1908.559406,0.81592229,5.112369537,0.511354148,NaN,NaN,80581386,1583868,NaN,NaN,April
14-Apr-2020,1772,662.6971928,6.432484241,20.44876862,0.537232876,NaN,NaN,70330122,1290726,NaN,NaN,April
15-Apr-2020,7164,2813.253464,NaN,NaN,NaN,NaN,NaN,76335453,3012780,NaN,NaN,April
16-Apr-2020,4599,2082.846604,0.967088342,1.031115532,0.903061152,NaN,NaN,80839883,2416820,NaN,NaN,April
17-Apr-2020,5950,3544.899347,16.26656067,37.24616623,0.74544549,NaN,NaN,76866614,3957030,NaN,NaN,April
18-Apr-2020,7703,5699.726951,16.70146965,33.83831406,0.521483004,NaN,467496,74973031,5213386,NaN,NaN,April
19-Apr-2020,10627,6011.165333,0.782793243,0.930978477,0.634584725,NaN,435436,72676282,6303472,NaN,NaN,April
20-Apr-2020,10513,6422.04564,1.552589096,2.081602812,0.523114741,NaN,795880,71441960,5359678,NaN,NaN,April
21-Apr-2020,8475,5415.711762,1.12300598,1.838231087,0.627240419,NaN,NaN,72425733,5485457,NaN,NaN,April
22-Apr-2020,5906,9414.063622,1.362960395,9.73001194,0.510451734,NaN,3178935,74269169,2350704,771739,NaN,April
23-Apr-2020,425,85.78202152,NaN,NaN,NaN,NaN,NaN,85956225,368223,NaN,NaN,April
24-Apr-2020,8227,4896.964048,1.055290781,3.121152163,0.781433344,NaN,NaN,72943259,4504822,NaN,NaN,April
25-Apr-2020,9737,6211.248522,2.435963948,28.76861763,0.506024957,NaN,NaN,56597174,5630823,192333,NaN,April
26-Apr-2020,2084,1329.767253,0.787200608,0.925738513,0.56392163,NaN,NaN,24476071,1347692,NaN,NaN,April
27-Apr-2020,11514,6340.582379,1.4210243,1.421216369,1.404873252,NaN,NaN,69065320,7475284,NaN,NaN,April
28-Apr-2020,7731,4584.778754,0.886522544,1.430859685,0.66575712,NaN,NaN,53859469,4152169,256430,NaN,April
29-Apr-2020,3804,2798.725648,1.708167089,4.226965427,0.980548084,NaN,NaN,40287722,1136685,1096934,NaN,April
30-Apr-2020,4583,2025.753797,6.437130912,18.63986397,0.740516782,NaN,NaN,63699975,3060340,NaN,NaN,April
01-May-2020,4188,1545.393762,6.137390251,16.27947235,0.574415505,NaN,NaN,71608245,2388541,NaN,NaN,May
02-May-2020,8821,6664.118058,1.956005548,4.980222225,0.520564079,NaN,381050,70367245,6899246,NaN,NaN,May
03-May-2020,6539,4636.372833,1.153277457,5.643030643,0.579631329,NaN,917412,74764932,4034495,NaN,NaN,May
04-May-2020,8780,5777.208095,1.500659948,13.15650082,0.559184849,NaN,1166309,69532574,5784657,NaN,NaN,May
05-May-2020,8201,4883.306309,NaN,NaN,NaN,NaN,NaN,78884599,4203020,NaN,NaN,May
06-May-2020,6322,2529.268848,NaN,NaN,NaN,NaN,NaN,78949872,3551265,NaN,NaN,May
07-May-2020,8329,4011.412989,0.975514487,5.728578568,0.500363052,NaN,NaN,72361768,5402929,305126,NaN,May
08-May-2020,10099,8087.217935,1.51540494,1.51540494,1.51540494,NaN,2497097,71582010,6914367,NaN,NaN,May
09-May-2020,7853,6218.048537,0.910452079,1.990048647,0.53853476,NaN,701240,74003623,4779780,139898,NaN,May
10-May-2020,3536,1631.384348,5.834833274,32.51218414,0.555443466,NaN,NaN,73999766,1813697,NaN,NaN,May
11-May-2020,2896,1446.476071,5.739367821,36.74994659,0.523543715,NaN,NaN,63548702,1492073,NaN,NaN,May
12-May-2020,3604,2599.154101,4.634481855,35.11911011,0.513833106,NaN,NaN,63431371,2435082,NaN,NaN,May
13-May-2020,4802,2499.775919,1.007552994,1.460245371,0.503817677,NaN,NaN,79134702,3535475,NaN,NaN,May
14-May-2020,6847,3661.552865,6.828186793,35.30886841,0.503573775,NaN,NaN,65543495,4685932,NaN,NaN,May
15-May-2020,10423,6796.189991,1.396392498,1.946702361,0.521609187,NaN,NaN,70096663,6105698,NaN,NaN,May
16-May-2020,8447,5900.723586,1.231726527,1.851206303,0.632687449,NaN,NaN,67373888,5276637,NaN,NaN,May
17-May-2020,7502,4926.12915,1.215846206,6.444505215,0.538537264,NaN,NaN,73888782,4082755,327003,NaN,May
18-May-2020,5968,10216.25835,1.704462853,10.61944485,0.515982211,NaN,2038182,73539540,4138064,62510,NaN,May
19-May-2020,6621,5117.848055,1.371249104,7.208081245,0.601806581,NaN,924926,69034924,3869819,NaN,NaN,May
20-May-2020,6140,2524.278141,0.826430945,1.509625077,0.503572464,NaN,NaN,77189491,2679583,NaN,NaN,May
21-May-2020,3702,890.5087514,0.684008285,1.455554366,0.507003069,NaN,NaN,71509906,1979929,NaN,NaN,May
22-May-2020,9374,5784.41208,1.777917683,2.188461542,1.367373824,NaN,NaN,68260279,5532128,84564,NaN,May
23-May-2020,8504,5231.768758,1.256663376,1.628597856,0.696063042,NaN,NaN,78319657,5072616,NaN,NaN,May
24-May-2020,6910,4972.220037,1.474317253,4.228327274,0.879622698,NaN,2389756,74723745,3692542,NaN,NaN,May
25-May-2020,5076,2633.076344,5.345082728,24.19724846,0.504086316,NaN,NaN,67582108,2445496,NaN,NaN,May
26-May-2020,18563,8249.35789,1.172657172,3.940606594,0.763407767,NaN,NaN,56866313,10690113,280180,NaN,May
27-May-2020,13280,5051.078979,1.048242569,1.048242569,1.048242569,NaN,NaN,59214248,6514302,NaN,NaN,May
28-May-2020,13037,4328.298312,0.991417836,3.721088648,0.500792742,NaN,NaN,63547318,5747982,NaN,NaN,May
29-May-2020,7767,2396.598098,1.977757983,18.51654625,0.617382944,NaN,NaN,73226919,3095928,NaN,NaN,May
30-May-2020,16407,9480.792686,1.863894658,6.344956398,0.501448393,NaN,NaN,70907897,8433592,NaN,NaN,May
31-May-2020,4572,2082.97477,2.912251903,22.02237129,0.527170002,NaN,NaN,52037833,3042723,NaN,NaN,May
01-Jun-2020,2162,585.9532421,13.68131791,31.81593513,0.506078124,NaN,NaN,28710515,1379768,NaN,NaN,June
02-Jun-2020,6424,3668.206617,2.046590301,3.233966112,0.70415163,NaN,NaN,69862334,4435359,NaN,NaN,June
03-Jun-2020,7092,3176.164842,1.079736865,1.800588846,0.526838779,NaN,NaN,76607850,3463691,NaN,NaN,June
04-Jun-2020,9426,5921.833651,4.787119781,20.85454559,0.640128851,NaN,NaN,70277756,6038172,NaN,NaN,June
05-Jun-2020,9376,3591.286128,0.614102542,0.674519122,0.553685963,NaN,NaN,73552690,4284214,360973,NaN,June
06-Jun-2020,7178,3833.537019,NaN,NaN,NaN,NaN,NaN,71602955,3896116,NaN,NaN,June
07-Jun-2020,10121,5759.389434,NaN,NaN,NaN,NaN,1098022,71427594,6239295,NaN,NaN,June
08-Jun-2020,7628,4669.01728,1.50555875,7.173356056,0.512073398,NaN,NaN,71310804,4216025,NaN,NaN,June
09-Jun-2020,15246,9360.412773,6.382262357,48.53003693,0.51591301,NaN,NaN,47945340,7847212,NaN,NaN,June
10-Jun-2020,9956,5989.31712,0.989888061,3.895757437,0.502669275,NaN,NaN,63954153,5530294,NaN,NaN,June
11-Jun-2020,2944,833.8739195,6.703329084,12.55278397,0.54870224,NaN,NaN,77951013,1367664,NaN,NaN,June
12-Jun-2020,10347,8523.67437,NaN,NaN,NaN,NaN,1958040,72279728,6820650,NaN,NaN,June
13-Jun-2020,7357,4476.591714,NaN,NaN,NaN,NaN,544736,75531493,4298520,NaN,NaN,June
14-Jun-2020,9652,6175.706564,NaN,NaN,NaN,NaN,NaN,77888112,5525162,193566,NaN,June
15-Jun-2020,9088,5118.444603,15.23312938,17.20471573,1.716895342,NaN,NaN,73809863,4723595,NaN,NaN,June
16-Jun-2020,5805,4205.932532,NaN,NaN,NaN,NaN,NaN,51969890,2829856,386399,NaN,June
05-Oct-2020,8823,7747.500394,1.525698073,9.218681335,0.540948391,NaN,1123704,40562188,5771185,NaN,NaN,October
06-Oct-2020,12687,7205.46423,3.121723129,32.03477859,0.599742889,NaN,NaN,66404439,7537359,NaN,NaN,October
07-Oct-2020,15298,9177.077593,2.499014214,20.2380619,0.500650465,NaN,NaN,67156869,8874491,NaN,NaN,October
08-Oct-2020,15112,8998.786946,1.261867103,4.360556126,0.502045631,NaN,NaN,68252349,9692238,NaN,NaN,October
09-Oct-2020,9005,5094.146982,7.9457407,25.04321861,0.500133038,NaN,814530,69919849,5193215,60372,NaN,October
10-Oct-2020,2298,1331.135782,12.3065019,42.72633362,0.501295328,NaN,NaN,54550740,1505338,NaN,NaN,October
11-Oct-2020,11838,6301.144529,1.088465643,3.267094612,0.554128289,NaN,NaN,68669265,7127271,NaN,NaN,October
12-Oct-2020,11853,6151.309358,1.039934188,1.256005883,0.823862493,NaN,541488,70071287,6650515,NaN,NaN,October
13-Oct-2020,10457,5316.950259,1.591276851,4.686589718,0.506120503,NaN,NaN,72824305,5883977,NaN,NaN,October
14-Oct-2020,5861,2195.759759,0.578511454,0.930073321,0.507871807,NaN,NaN,81278570,3176069,NaN,NaN,October
15-Oct-2020,3909,1917.330584,4.328283437,12.83483601,0.636618674,NaN,NaN,78202503,2721594,NaN,NaN,October
16-Oct-2020,10172,6312.429186,1.977965523,6.67097187,0.506449878,NaN,NaN,68912001,6977566,NaN,NaN,October
17-Oct-2020,11378,7361.696261,NaN,NaN,NaN,NaN,312508,70626113,6545474,NaN,NaN,October
