Date,StepCount,Distance_m_,AverageSpeed_m_s_,MaxSpeed_m_s_,MinSpeed_m_s_,MoveMinutesCount,CyclingDuration_ms_,InactiveDuration_ms_,WalkingDuration_ms_,RunningDuration_ms_,RoadBikingDuration_ms_,Month
21-Feb-2020,9367,6226.049485,1.090177353,17.15999985,0.251347154,91,NaN,77232992,5316934,NaN,NaN,February
22-Feb-2020,9942,6322.286452,0.797697466,3.109665871,0.245186359,98,NaN,80686300,5592685,NaN,NaN,February
23-Feb-2020,5018,2963.639176,0.682767726,3.840629101,0.250862569,45,NaN,83856599,2543401,NaN,NaN,February
24-Feb-2020,3927,2019.999494,0.544096256,3.086068153,0.245082632,33,NaN,84853943,1546057,NaN,NaN,February
25-Feb-2020,10110,8847.062355,0.782558697,4.490610123,0,102,619051,80093176,5101925,NaN,NaN,February
26-Feb-2020,7920,5214.079422,1.393898364,32.08000183,0.256001592,83,NaN,78626712,3691402,65022,NaN,February
27-Feb-2020,10932,8605.600567,0.816203793,5.047934055,0.250157505,119,512867,77372635,5603851,NaN,NaN,February
28-Feb-2020,9203,6977.582054,1.98689714,26.5255394,0.261528283,94,NaN,78246283,4738087,NaN,NaN,February
29-Feb-2020,5355,3229.768596,0.510152515,1.859499693,0.249620989,48,NaN,82377955,2553739,NaN,NaN,February
01-Mar-2020,1992,932.4221562,0.651102694,17.27478218,0.250157505,12,NaN,84860448,883537,NaN,NaN,March
02-Mar-2020,1476,818.4056194,0.581505123,2.180000067,0.244423181,13,NaN,86010079,389921,NaN,NaN,March
03-Mar-2020,6904,4578.665386,1.433106611,25.68000031,0.16855675,74,NaN,80040607,3654464,NaN,NaN,March
04-Mar-2020,2285,1202.128973,0.547524755,2.003086329,0.245734006,17,NaN,83801187,1689888,NaN,NaN,March
05-Mar-2020,4092,2600.165021,2.425398347,34.25053024,0.083647005,46,NaN,74373721,2126991,NaN,NaN,March
06-Mar-2020,9531,5945.462032,1.045752733,33.27999878,0.096695378,95,NaN,78500120,4721690,NaN,NaN,March
07-Mar-2020,8355,5241.552949,1.174011156,24.30999947,0.258684158,84,NaN,77772563,4311366,NaN,NaN,March
08-Mar-2020,4408,2811.472119,0.781659004,4.537605762,0.261094868,50,NaN,85073144,1326856,NaN,NaN,March
09-Mar-2020,9139,6810.839874,1.413987985,33.06999969,0.131175026,97,NaN,79425682,3996269,NaN,NaN,March
10-Mar-2020,7623,5048.564845,1.509040397,25.19000053,0.222446725,80,NaN,78855768,3523912,NaN,NaN,March
11-Mar-2020,10683,8581.228242,0.820084946,23.39330864,0.159011751,111,714940,74791215,5518194,NaN,NaN,March
12-Mar-2020,4667,2855.092705,0.631666913,3.948701382,0.250157505,45,NaN,84469894,1791189,NaN,NaN,March
13-Mar-2020,11156,7364.257633,0.689942897,6.550945282,0.249799773,120,NaN,76841297,6236314,NaN,NaN,March
14-Mar-2020,10118,6083.508594,3.026677687,41.56940079,0.260992676,117,NaN,65086362,4863005,NaN,NaN,March
15-Mar-2020,4472,2650.418334,4.997523618,31.55999947,0.254946321,61,NaN,69392462,1126714,NaN,NaN,March
16-Mar-2020,6305,4116.608181,2.550959747,36.14907455,0.250157505,77,NaN,77082455,2756255,NaN,NaN,March
17-Mar-2020,2257,1188.233387,0.552968248,1.366779447,0.277536452,25,NaN,85074601,1325399,NaN,NaN,March
18-Mar-2020,4417,2512.799747,2.303494251,35.82984924,0.248796195,48,NaN,79150433,1464217,NaN,NaN,March
19-Mar-2020,6821,4195.049706,0.799332725,7.820921421,0.250157505,69,NaN,83011209,3388791,NaN,NaN,March
20-Mar-2020,3974,2250.84201,0.708181943,3.240108252,0.24986127,40,NaN,85041178,1255886,NaN,NaN,March
21-Mar-2020,3092,1922.415446,0.836732896,4.210635185,0.281108588,34,NaN,85040238,1359762,NaN,NaN,March
22-Mar-2020,6912,4387.876867,0.618300314,5.736436367,0.098345131,75,NaN,76754968,3660942,63464,NaN,March
23-Mar-2020,5657,3243.668555,0.536475522,1.511736393,0.255237907,57,NaN,84357136,2042864,NaN,NaN,March
24-Mar-2020,5649,3418.376883,0.690057628,3.351164579,0.250071675,56,NaN,83667210,2732790,NaN,NaN,March
25-Mar-2020,10161,6398.784812,0.651144074,1.462589502,0.254155219,97,NaN,80976894,5423106,NaN,NaN,March
26-Mar-2020,4675,2610.691541,0.603711863,6.286970139,0.070356555,49,NaN,84234084,2035670,NaN,NaN,March
27-Mar-2020,1415,809.5471573,0.568732882,1.155659199,0.250157505,16,NaN,85893364,506636,NaN,NaN,March
28-Mar-2020,4334,2369.617354,0.576663823,4.374724865,0.050696023,47,NaN,84663071,1611358,NaN,NaN,March
29-Mar-2020,3574,2050.614671,0.4627037,3.148918152,0.250157505,32,NaN,81265493,1474448,NaN,NaN,March
30-Mar-2020,2388,1148.807921,0.575014828,3.416590691,0.250157505,23,NaN,86150667,249333,NaN,NaN,March
31-Mar-2020,4002,2283.34894,3.74673698,33.57638931,0.100105822,50,NaN,79074450,1642172,NaN,NaN,March
01-Apr-2020,6994,4970.119997,0.628733899,1.746358752,0.24269338,64,NaN,83082427,3317573,NaN,NaN,April
02-Apr-2020,7738,5238.660868,0.859213619,6.179638386,0.250157505,73,NaN,82253465,4146535,NaN,NaN,April
03-Apr-2020,1186,626.2075372,1.218514889,5.155221939,0.250157505,14,NaN,86194960,205040,NaN,NaN,April
04-Apr-2020,3676,2359.917212,0.567803104,4.83175993,0.250157505,32,NaN,84355850,1838666,NaN,NaN,April
05-Apr-2020,3091,1801.178618,0.455037858,11.06528282,0.250157505,29,NaN,85138547,1004409,NaN,NaN,April
06-Apr-2020,3836,2305.604409,0.620343922,2.110492945,0.25547868,43,NaN,84925614,1474386,NaN,NaN,April
07-Apr-2020,8107,5854.953236,0.610645673,2.684434175,0.261528283,80,NaN,82196604,4203396,NaN,NaN,April
