Date,StepCount,Distance_m_,AverageSpeed_m_s_,MaxSpeed_m_s_,MinSpeed_m_s_,MoveMinutesCount,CyclingDuration_ms_,InactiveDuration_ms_,WalkingDuration_ms_,RunningDuration_ms_,RoadBikingDuration_ms_,Month
20-Feb-2020,8520,4743.861096,1.721398169,25.66957283,0.257381946,NaN,457352,76375291,6122051,NaN,NaN,February
21-Feb-2020,7159,4326.412257,1.6605406,24.34238434,0.264767736,NaN,397951,77239767,5084030,NaN,NaN,February
22-Feb-2020,16838,10405.87691,1.018294879,24.23693466,0.012930243,NaN,NaN,71751180,10669121,NaN,NaN,February
23-Feb-2020,7461,3527.271295,0.815425292,4.067676067,0.173420161,NaN,NaN,75656196,6059739,NaN,NaN,February
24-Feb-2020,13543,8666.550864,0.916105895,3.611149073,0.246336639,NaN,NaN,72659875,10182558,NaN,NaN,February
25-Feb-2020,5105,2408.700732,2.138558912,9.759804726,0.200400844,NaN,NaN,82003336,2873010,NaN,NaN,February
26-Feb-2020,853,61.69472051,0.922746501,1.358161449,0.494092762,NaN,NaN,85334094,920636,NaN,NaN,February
27-Feb-2020,6822,3637.74733,0.769600755,3.044175863,0.062886469,NaN,NaN,82430296,3969704,NaN,NaN,February
28-Feb-2020,6768,2587.605975,0.804368649,5.211202145,0.058004256,NaN,NaN,82746282,3653718,NaN,NaN,February
01-Mar-2020,4640,1542.297925,0.959753246,3.744921923,0.209802926,NaN,NaN,82216865,4183135,NaN,NaN,March
02-Mar-2020,10976,5053.540711,0.763202465,2.425544024,0.116214827,NaN,NaN,77604575,8698523,NaN,NaN,March
03-Mar-2020,6852,3022.348315,0.799797187,3.868126869,0.157539517,NaN,NaN,81585484,4789271,NaN,NaN,March
04-Mar-2020,1228,150.8997731,1.33865756,2.479954004,0.251398176,NaN,NaN,85981439,418561,NaN,NaN,March
05-Mar-2020,1931,340.7022843,2.751289868,17.85028076,0.293996543,NaN,NaN,82515098,914412,NaN,NaN,March
06-Mar-2020,11494,7861.158157,1.112923883,2.439307213,0.262420654,NaN,NaN,79940801,6459199,NaN,NaN,March
07-Mar-2020,15081,10010.77679,1.245230803,17.66889763,0.254098505,NaN,NaN,71852919,10322788,NaN,NaN,March
08-Mar-2020,11030,6978.665426,0.945225066,6.356731892,0.347653717,NaN,NaN,75920728,7376103,NaN,NaN,March
09-Mar-2020,6895,4864.268036,2.560117894,26.6411953,0.239575177,NaN,439938,77239246,5153551,NaN,NaN,March
